transaction_id,account_id,merchant_id,transaction_type,payment_method,merchant_category,risk_tier,geography,amount,fee_amount,settlement_amount,settlement_days,transaction_date,settlement_date,fraud_flag,settled_flag,transaction_flag,chargeback_flag
TXN-03-04373,ACCT-47901,MERCH-8777,withdrawal,wire,entertainment,low,US-West,3634.01,31.41,3602.6,7.0,2025-12-18,2025-12-25,0,0,1,0
TXN-03-04340,ACCT-73823,MERCH-8666,purchase,wire,travel,low,APAC,2367.63,44.86,2322.77,4.0,2025-12-06,2025-12-10,0,1,1,0
TXN-03-04131,ACCT-20705,MERCH-5095,withdrawal,digital_wallet,food_and_beverage,low,US-East,2285.51,41.22,2244.29,4.0,2025-12-24,2025-12-28,0,1,1,0
TXN-03-04250,ACCT-60554,MERCH-2012,refund,wire,services,high,APAC,49.57,1.21,48.36,4.0,2025-12-17,2025-12-21,0,1,1,0
TXN-03-00839,ACCT-20959,MERCH-4222,purchase,wire,services,low,APAC,814.41,20.83,793.58,2.0,2025-12-23,2025-12-25,0,1,1,0
TXN-03-01196,ACCT-39792,MERCH-4989,purchase,digital_wallet,entertainment,low,APAC,2259.01,61.89,2197.12,2.0,2025-12-10,2025-12-12,0,1,1,0
TXN-03-02959,ACCT-30426,MERCH-7137,purchase,digital_wallet,services,medium,US-Central,1992.05,15.04,1977.01,7.0,2025-12-24,2025-12-31,0,1,1,0
TXN-03-02960,ACCT-32649,MERCH-7157,transfer,wire,services,low,EU-West,466.51,3.56,462.95,6.0,2025-12-17,2025-12-23,0,1,1,0
TXN-03-01418,ACCT-70194,MERCH-4035,transfer,debit_card,retail,medium,APAC,3051.51,46.0,3005.51,7.0,2025-12-11,2025-12-18,0,1,1,0
TXN-03-00320,ACCT-84758,MERCH-9990,purchase,credit_card,travel,high,US-East,1351.65,26.56,1325.09,2.0,2025-12-21,2025-12-23,0,1,1,0
TXN-03-03740,ACCT-57133,MERCH-9393,purchase,wire,retail,low,US-East,2947.64,95.83,2851.81,3.0,2025-12-11,2025-12-14,0,1,1,0
TXN-03-01132,ACCT-16370,MERCH-6166,transfer,debit_card,retail,high,US-East,2151.62,28.06,2123.56,1.0,2025-12-22,2025-12-23,0,1,1,0
TXN-03-01928,ACCT-17996,MERCH-8061,purchase,digital_wallet,retail,medium,US-West,3580.39,59.88,3520.51,6.0,2025-12-10,2025-12-16,0,1,1,0
TXN-03-02811,ACCT-75105,MERCH-9334,transfer,debit_card,travel,medium,US-Central,713.29,13.31,699.98,4.0,2025-12-30,2026-01-03,0,1,1,0
TXN-03-05160,ACCT-58109,MERCH-8684,purchase,credit_card,food_and_beverage,high,EU-West,1575.57,30.54,1545.03,6.0,2025-12-09,2025-12-15,0,1,1,0
TXN-03-02999,ACCT-37772,MERCH-6891,purchase,wire,travel,high,EU-West,816.22,15.45,800.77,1.0,2025-12-17,2025-12-18,0,1,1,0
TXN-03-05099,ACCT-79797,MERCH-8969,transfer,wire,services,medium,US-West,4528.06,23.41,4504.65,7.0,2025-12-22,2025-12-29,0,0,1,0
TXN-03-03764,ACCT-80453,MERCH-3345,withdrawal,digital_wallet,retail,medium,US-Central,2764.99,43.76,2721.23,6.0,2025-12-27,2026-01-02,0,1,1,1
TXN-03-03275,ACCT-27674,MERCH-6800,withdrawal,debit_card,food_and_beverage,high,EU-West,4227.1,46.61,4180.49,4.0,2025-12-25,2025-12-29,0,1,1,0
TXN-03-05102,ACCT-66871,MERCH-9244,purchase,debit_card,entertainment,medium,US-West,2753.86,63.61,2690.25,5.0,2025-12-22,2025-12-27,0,1,1,0
TXN-03-03071,ACCT-21733,MERCH-7800,refund,debit_card,food_and_beverage,low,US-East,2307.89,71.74,2236.15,7.0,2025-12-19,2025-12-26,0,0,1,0
TXN-03-01894,ACCT-38126,MERCH-5425,transfer,ach,entertainment,medium,EU-West,548.11,6.33,541.78,2.0,2025-12-07,2025-12-09,0,1,1,0
TXN-03-00265,ACCT-83889,MERCH-4886,purchase,ach,retail,low,US-West,1057.13,12.72,1044.41,3.0,2025-12-11,2025-12-14,0,1,1,0
TXN-03-03475,ACCT-45219,MERCH-4337,withdrawal,ach,services,medium,US-East,1627.43,47.27,1580.16,4.0,2025-12-10,2025-12-14,0,1,1,0
TXN-03-01415,ACCT-41993,MERCH-7631,purchase,wire,entertainment,low,US-West,3300.77,91.58,3209.19,1.0,2025-12-04,2025-12-05,0,1,1,0
TXN-03-03574,ACCT-93307,MERCH-2341,purchase,ach,services,low,US-East,1394.27,21.39,1372.88,3.0,2025-12-01,2025-12-04,0,1,1,0
